Price Date,Open Price,High Price,Low Price,Close Price
12/05/2020,678.5,691,675.5,687.65
11/05/2020,682.5,698.55,678,682.9
08/05/2020,672.25,680.9,668.5,674.2
07/05/2020,665.55,674.35,662.45,664.95
06/05/2020,676.9,681.45,664.05,665.9
05/05/2020,681.75,685.6,670,673.7
04/05/2020,689.8,701.2,670.35,673.7
30/04/2020,700,720,698.1,715.5
29/04/2020,666,682,658,676.55
28/04/2020,673,677,653.05,660.7
27/04/2020,661.05,681,661.05,664.6
24/04/2020,668.55,675,654.8,658
23/04/2020,647.05,683.65,638.1,679.3
22/04/2020,633.2,645,628.05,641.85
21/04/2020,627.8,646.5,627.8,633.2
20/04/2020,640,661,639,653.3
17/04/2020,644,646,626,628.75
16/04/2020,619.95,634.9,603.5,623.85
15/04/2020,651.4,653.3,635.6,639.05
13/04/2020,629,651.7,626.05,637.4
09/04/2020,646.8,652.8,632.1,636.25
08/04/2020,630,655.65,626.35,631.6
07/04/2020,615,644.25,612.9,639
03/04/2020,603.5,606,582.15,585.7
01/04/2020,634.35,637.5,594,602.8
31/03/2020,650,662,633.7,641.5
30/03/2020,625.1,663.5,621.1,626.7
27/03/2020,665.05,674.9,642.25,652.7
26/03/2020,615,650.85,612.1,643
25/03/2020,597,635,565.7,606.2
24/03/2020,522,601.15,522,589.8
23/03/2020,540,560.95,515.9,526.45
20/03/2020,549.5,617.45,548,585.2
19/03/2020,509.25,558,509.25,545.55
18/03/2020,568,578,528,534.3
17/03/2020,588.1,592,550,554.95
16/03/2020,622,622.15,580,583.15
13/03/2020,592,667,570,642.35
12/03/2020,668,670,627.5,631.2
11/03/2020,690.65,695.95,669.05,686
09/03/2020,724.5,725.85,697,704.45
06/03/2020,741,744,729.1,738.95
05/03/2020,763.75,773.55,751.75,754.6
04/03/2020,753.9,761.5,745.55,758.75
03/03/2020,755,759,741.25,747
02/03/2020,737,765.9,733.75,741.05
28/02/2020,750,756.8,722.05,731.7
27/02/2020,778,780.75,772.2,777.85
26/02/2020,793.95,801.45,780.5,782.75
25/02/2020,799,806,795.4,798.4
24/02/2020,800.1,811.6,792.15,795.85
20/02/2020,803.25,806.1,793.85,797
19/02/2020,800,804.85,796.15,800.45
18/02/2020,785,799.05,783.65,797.65
17/02/2020,790.3,793.45,783.3,789.45
14/02/2020,794.5,799.2,784.6,786.45
13/02/2020,785,794,782.2,792.25
12/02/2020,775.8,783.25,775.1,781.05
11/02/2020,779,779.1,769.2,773.55
10/02/2020,774,778,769.75,773.2
07/02/2020,775.95,778.85,771,777.3
06/02/2020,784.35,786.8,770,771.35
05/02/2020,781,786,774.4,784.55
04/02/2020,770.1,789.9,770.1,787.85
03/02/2020,782,790.95,764.5,767.4
01/02/2020,775.1,791.25,769.25,779.5
31/01/2020,780.55,784.95,771.6,775.95
30/01/2020,789.7,789.7,778,780.7
29/01/2020,786.6,792.8,784.25,789.7
28/01/2020,781,781.8,772,778
27/01/2020,779.05,784.8,774.4,778.1
24/01/2020,775.75,786.5,773.6,782.75
23/01/2020,777.1,785.5,776.7,784.35
22/01/2020,768.45,778,766,770.2
21/01/2020,768.45,770.5,760.75,762.5
20/01/2020,771.6,774.4,762.95,768.45
17/01/2020,770.7,772.9,762.25,767.85
16/01/2020,770.7,772.5,760.25,767
15/01/2020,773.85,773.85,762.15,767.55
14/01/2020,769.95,776.95,767.2,775.65
13/01/2020,760,777.5,755,773.55
10/01/2020,740.45,742.9,730.5,738.15
09/01/2020,721.7,731.5,714.3,727.55
08/01/2020,724.95,729,708.3,718.2
07/01/2020,738,742.6,725.1,727.9
06/01/2020,746.1,753.8,736.5,738.85
03/01/2020,733.9,748,733.9,746
02/01/2020,738.9,740.8,730.9,734.7
01/01/2020,735,740,732.55,736.85
31/12/2019,729.7,737.75,725.45,731.15
30/12/2019,736.1,737.95,727.25,732.9
27/12/2019,729.75,737.5,728.85,736.95
26/12/2019,732,734.55,726.55,728.95
24/12/2019,736.95,736.95,728.3,733.4
23/12/2019,732.15,737.3,731.65,736
20/12/2019,731,735,728.25,731.55
19/12/2019,733.5,735.95,724.6,730.85
18/12/2019,731,737.3,722.75,732.45
17/12/2019,719.7,731.25,715,729.7
16/12/2019,712.3,720.2,710.2,714
13/12/2019,700.35,712.9,700.35,711.3
12/12/2019,718.5,720.7,699.55,702.1
11/12/2019,716.6,722.7,713,721.05
10/12/2019,713,718.5,710,714.55
09/12/2019,716,722.35,714.25,717.25
06/12/2019,715.95,720,709.6,715.1
05/12/2019,706.45,715.9,703.8,714.85
04/12/2019,697,710.5,693.35,708.85
03/12/2019,692.7,699.7,688.55,698.35
02/12/2019,703.1,704,690.3,692.7
29/11/2019,700.9,702.3,691.55,696.35
28/11/2019,699.1,703.35,694.05,701.85
27/11/2019,694.25,697.65,690.1,695.75
26/11/2019,705,707.25,686,690.6
25/11/2019,693.35,705.15,693.2,698.1
22/11/2019,711.75,712,685.1,693.2
21/11/2019,715.5,721.45,710.5,713.25
20/11/2019,712.8,715,705,713
19/11/2019,709.9,714,705,712.85
18/11/2019,705,710,699.3,705.2
15/11/2019,709.05,712.95,702.3,703.9
14/11/2019,696.35,709.8,696.35,705.3
13/11/2019,696.5,700,687.75,691.35
11/11/2019,698.9,707.2,698,704.4
08/11/2019,722,724.25,705.5,708.15
07/11/2019,717,724.35,712.1,720.1
06/11/2019,695.8,721.5,692,712.3
05/11/2019,708.75,708.75,691.5,696.1
04/11/2019,681.8,732.5,678.15,709
01/11/2019,690,694,682.6,687.9
31/10/2019,668.4,695.45,666.1,685.6
30/10/2019,660.4,671.4,656.2,660.6
29/10/2019,651,653.75,647,650.65
27/10/2019,651.1,652.5,645.55,648.85
25/10/2019,647,652.5,636,637.45
24/10/2019,650,653.2,632,635.35
23/10/2019,630,656.65,615.1,650.6
22/10/2019,691.1,691.1,638.35,643.55
18/10/2019,763.8,773.8,760,767.85
17/10/2019,767,770.55,765.1,769.5
16/10/2019,765.25,775.95,761.55,771.45
15/10/2019,773.1,775.95,765,768.3
14/10/2019,786.75,797,780,786.1
11/10/2019,781.5,823.8,776.6,814.8
10/10/2019,785.4,794.7,776.6,783.05
09/10/2019,795.45,795.9,778.8,783.65
07/10/2019,794.85,802,786.1,789.55
04/10/2019,790,797.6,787.05,793.45
03/10/2019,792.55,797.85,784.15,785.6
01/10/2019,807,807.55,791.55,793.55
30/09/2019,785.1,808,784.15,805.65
27/09/2019,787.05,794.25,780.1,782.2
26/09/2019,787.75,797,778.1,782.55
25/09/2019,787.7,801,781.65,792.65
24/09/2019,765,798.65,765,794.05
23/09/2019,806.9,806.9,741.9,764.35
20/09/2019,822.9,835,802,805
19/09/2019,824.85,827,815.2,820.7
18/09/2019,829.9,832.95,824,829.85
17/09/2019,831.5,835,820.55,831.25
16/09/2019,832.05,837.95,820.55,827.7
13/09/2019,818.1,831.05,817.5,829.3
12/09/2019,816.4,819.85,810.85,816.4
11/09/2019,822.3,828.55,814.15,820.1
09/09/2019,836.8,840.3,827.55,829.1
06/09/2019,843.3,847,835.05,840.15
05/09/2019,830.1,837.5,826.65,834.05
04/09/2019,810.75,822.45,810.25,821.3
03/09/2019,815,822.4,812.05,814.25
30/08/2019,810,817.35,802,814.9
29/08/2019,795.5,809.7,795.5,806.95
28/08/2019,787.4,805,786.3,802.5
27/08/2019,791,794.95,781.1,784.65
26/08/2019,795.9,806.8,786.9,802.55
23/08/2019,796.45,809.95,795.8,802.2
22/08/2019,799.9,801.3,792.35,795.7
21/08/2019,793,803.75,793,799.45
20/08/2019,785.2,798,783.85,792.75
19/08/2019,775.6,783,773.35,777.65
16/08/2019,780,780.05,762.5,774.55
14/08/2019,775.1,778.25,768,774.8
13/08/2019,784.15,786,760.15,764.75
09/08/2019,792,796.75,784.8,789.85
08/08/2019,782.7,792.75,781.25,788.75
07/08/2019,778.9,783.45,772.35,776.1
06/08/2019,778.8,783.7,769.8,774.45
05/08/2019,772.6,785.9,768.65,776.7
02/08/2019,765.05,779.9,762.25,775.6
01/08/2019,786.45,788.4,764.4,768.85
31/07/2019,790.85,799.8,781.6,793.65
30/07/2019,791.9,797.8,788.55,792.7
29/07/2019,789.5,796.95,786.2,791.45
26/07/2019,792.3,795,782.2,787
25/07/2019,788.25,800.2,787.65,794.5
24/07/2019,788,793.75,783.6,786.3
23/07/2019,787,804,785.55,790.05
22/07/2019,785.95,792,782.05,784.4
19/07/2019,788.7,794.5,781.25,785.4
18/07/2019,789.05,798.5,786.2,792.7
17/07/2019,783.9,795,776.75,794.15
16/07/2019,777,787.8,776,784.85
15/07/2019,763,781.65,754.2,779.35
12/07/2019,722.5,730.6,719.6,726.75
11/07/2019,719.45,723.5,709.6,721.5
10/07/2019,709,722.7,706.5,717.25
09/07/2019,718,719.85,709.05,715.5
08/07/2019,716.45,724.95,712.3,717.6
05/07/2019,735,736.4,713.5,718
04/07/2019,729,736.4,728.6,733.8
03/07/2019,741,743.2,730,731.3
02/07/2019,734,741.65,730.1,740
01/07/2019,735,737.5,729.85,731.3
28/06/2019,735.5,739.5,728.5,732
27/06/2019,742,744.7,728.15,730.55
26/06/2019,743,751.45,738,739.2
25/06/2019,744,750.9,737.3,748.1
24/06/2019,751.9,751.9,742.65,745.5
21/06/2019,755,755,747.15,750.2
20/06/2019,737.8,756.9,735.9,754.9
19/06/2019,752.5,755.4,748.6,751.9
18/06/2019,740.2,752.45,740.2,750.15
17/06/2019,743,744.5,737.8,740.55
14/06/2019,743.85,745.5,738.25,740.45
13/06/2019,740,747.2,740,742.65
12/06/2019,756.95,756.95,745,753.8
11/06/2019,755,759,750.5,754.9
10/06/2019,740.1,754.1,740.1,753.5
07/06/2019,735.85,743.95,735.85,739.1
06/06/2019,736.5,744.65,733.65,735.6
04/06/2019,737.25,739.45,733.15,735.3
03/06/2019,729.8,750.9,729,744.65
31/05/2019,736.5,742.95,733.2,737.75
30/05/2019,727,737.25,722.55,733.55
29/05/2019,725.5,733.65,723.65,727.8
28/05/2019,712,733.45,709.8,728.1
27/05/2019,707.4,713.8,705.5,708.1
24/05/2019,703.8,711.75,700.45,709.2
23/05/2019,715,716.7,697.45,701.05
22/05/2019,710,718.25,707,709.75
21/05/2019,722.65,722.65,707.7,709.3
20/05/2019,719.7,726.4,706,722.4
17/05/2019,733.15,735.8,720.1,723.9
16/05/2019,720,737,719.1,733.1
15/05/2019,714.9,725.2,712.6,716.1
14/05/2019,716.5,717.75,703.6,713.85
13/05/2019,716.55,726.45,712.1,719.7
10/05/2019,720.8,726,715,716.85
09/05/2019,719.15,730.3,715.8,721.05
08/05/2019,721,726,716.5,719.35
07/05/2019,720.4,727.9,718.7,724.55
06/05/2019,715,721.8,710.65,718.4
03/05/2019,722.9,731,718.2,723.6
02/05/2019,747,748.4,729.5,730.8
30/04/2019,738,753.8,738,751.35
26/04/2019,731,739.8,729,738
25/04/2019,736.45,737.65,727.05,728.55
24/04/2019,728.2,737.9,724,736.45
23/04/2019,723.9,730,718.4,728.2
22/04/2019,717.05,725.75,715,721.05
18/04/2019,722.5,722.5,712.75,717.05
16/04/2019,727.9,727.9,714.1,724.1
15/04/2019,724.7,731.35,712.6,727.5
12/04/2019,743.1,751.55,740.6,747.75
11/04/2019,751.75,751.75,740.05,742.7
10/04/2019,764,766.7,751.3,752.7
09/04/2019,770,773,758.2,760.6
08/04/2019,763.05,770,755.4,767.25
05/04/2019,750.9,760.95,748,759.3
04/04/2019,751.4,753.8,745.1,747.9
03/04/2019,756,758.5,746.8,753.3
02/04/2019,759,765.8,754.6,759.4
01/04/2019,742,760,742,755.1
29/03/2019,743.9,747.95,740,743.85
28/03/2019,730,745,730,737.8
27/03/2019,730,732.3,727.15,729.7
26/03/2019,735.25,735.25,719.1,727.75
25/03/2019,742.4,742.4,730.55,735.25
22/03/2019,745,746.35,732.3,743.1
20/03/2019,727.25,742.3,727.15,738.95
19/03/2019,712.8,726.5,707.4,722.25
18/03/2019,721.55,723.7,705.35,710.2
15/03/2019,712,723.75,709.6,718.55
14/03/2019,714,714.9,706.2,708.35
13/03/2019,710,718.6,706.3,708.45
12/03/2019,709,714.95,705.6,706.95
11/03/2019,713.3,718.5,709.4,711.25
08/03/2019,722.95,722.95,710.65,712.35
07/03/2019,734,734.5,720.55,722.95
06/03/2019,736.1,736.1,727,732.5
05/03/2019,740.5,742.5,730.25,732.5
01/03/2019,735.5,743.4,735.5,741.9
28/02/2019,738.7,742.4,732.3,734.3
27/02/2019,745,746.4,732.75,735.25
26/02/2019,748.6,752.6,740.15,742.5
25/02/2019,735.55,758,735.55,754.9
22/02/2019,732.5,738.2,728,734.95
21/02/2019,738,738,727.1,733.45
20/02/2019,727,743,726.05,740.7
19/02/2019,739.1,740.55,721.3,724.3
18/02/2019,742.35,747.65,736,741.05
15/02/2019,742.3,746.5,732.6,741.95
14/02/2019,751,753,737.25,740.05
13/02/2019,750.1,759.7,743.65,754.9
12/02/2019,760.35,760.35,741,750.45
11/02/2019,766.9,768.75,759,762.8
08/02/2019,760,772.25,754.9,760.9
07/02/2019,763.05,769.45,761,764
06/02/2019,755.55,766.95,754.35,763.3
05/02/2019,747,759.95,747,754.85
04/02/2019,757,762.5,749.2,755.9
01/02/2019,751.35,762.5,744.5,757.05
31/01/2019,726,751.3,726,749.55
30/01/2019,727.9,734.8,721.1,725.9
29/01/2019,725.5,732.85,716.5,727.9
28/01/2019,731,732.6,719,727.95
25/01/2019,728,737.9,724.25,730.35
24/01/2019,728.1,736.1,721,732
23/01/2019,742.35,742.6,729.2,731.65
22/01/2019,741.25,749,734,745.35
21/01/2019,738.2,751,734,745
18/01/2019,730,736.2,726.3,730.95
17/01/2019,735.8,739,729.1,733.35
16/01/2019,729.9,737.8,728.5,736.8
15/01/2019,707.2,730,707.2,726.6
14/01/2019,707,710.2,695.95,701.9
11/01/2019,680.2,685.5,672.5,683.5
10/01/2019,681.6,682,672.55,679.7
09/01/2019,686.2,689.8,664,676.1
08/01/2019,674.95,677.45,668.55,670.05
07/01/2019,665,673.6,661.5,671.7
04/01/2019,671.75,673.9,651,661.05
03/01/2019,672,677,663.1,669.15
02/01/2019,666,674,662.05,669.05
01/01/2019,660.95,666.3,654.15,665.05
31/12/2018,660,662,655.8,658.95
28/12/2018,663.35,663.5,653.3,656.95
27/12/2018,652.75,663.25,649,656.8
26/12/2018,647,647,637.35,644.05
24/12/2018,657,658.8,647.6,649
21/12/2018,659.5,659.5,643.45,646.2
20/12/2018,660,671.55,656.4,667.05
19/12/2018,671.55,671.55,661.1,664.85
18/12/2018,686.5,686.5,674.55,676.6
17/12/2018,711.85,711.85,692.75,694.4
14/12/2018,697.45,713.7,694.4,706.05
13/12/2018,682,700,680,697.75
12/12/2018,677.1,680.65,670.6,678.5
11/12/2018,669.2,681.9,660.6,674.5
10/12/2018,669.9,683.8,665.2,669.2
07/12/2018,672,685.75,665.6,682.8
06/12/2018,676.1,685.45,664.55,668.5
05/12/2018,683,683.65,672.5,681.4
04/12/2018,672.55,688.25,671.3,685.25
03/12/2018,673.15,679,665.95,670.35
30/11/2018,661,672,660.95,667.45
29/11/2018,671,674.9,658.8,661.05
28/11/2018,640.95,668.7,640,666.4
27/11/2018,625.5,641,625.3,638.9
26/11/2018,621,628,599.85,621.45
22/11/2018,622.25,628.15,616.75,620.75
21/11/2018,640,640.05,612.1,619.1
20/11/2018,651.7,656,640.1,641.4
19/11/2018,659,662,649.25,651.7
16/11/2018,659.9,662.5,644.2,650.85
15/11/2018,654,666,646.7,656.4
14/11/2018,665.7,665.7,640.5,653.2
13/11/2018,663.5,667.75,656.3,665.7
12/11/2018,666,676.4,662.3,664.2
09/11/2018,679,679,655.5,659.5
07/11/2018,673,677.5,672,675.5
06/11/2018,667.9,675,660.65,666.45
05/11/2018,663.5,668.6,657,666
02/11/2018,665.95,675.8,660.1,662.25
01/11/2018,689.7,689.7,659.6,666.7
31/10/2018,663.9,692.95,663.05,686.4
30/10/2018,641.1,663.8,637.45,659.6
29/10/2018,633.7,650.55,631.5,644.75
26/10/2018,645.3,648.7,629.9,633.6
25/10/2018,643,656.35,636.25,648.75
24/10/2018,663,666.5,647.15,649.8
23/10/2018,675.95,682,653.3,657.6
22/10/2018,688.7,695.05,673.8,679.95
19/10/2018,687,687.7,678,683.55
17/10/2018,710,721.8,701.35,705.35
16/10/2018,710,713.9,689.4,695.25
15/10/2018,688.6,705,681.5,698.8
12/10/2018,676.4,684.05,661.5,678.8
11/10/2018,685,692.9,663.3,673.35
10/10/2018,719.9,719.9,695.4,700.45
09/10/2018,717.1,722.4,702.65,717.75
08/10/2018,725.05,728.7,709.25,714.45
05/10/2018,713,731.5,709.3,724.6
04/10/2018,728.5,729.75,702.5,707.2
03/10/2018,743.8,751.95,726.3,728.5
01/10/2018,737.5,754.9,733,746.65
28/09/2018,721,734.55,715.2,730.05
27/09/2018,722,730.8,717.45,724.8
26/09/2018,731.2,731.85,712,717.85
25/09/2018,718.25,736,717,726.2
24/09/2018,706.5,729.95,706.5,718.25
21/09/2018,713.85,717.4,692,705.3
19/09/2018,727,727,713.2,719.75
18/09/2018,730,730,717,719.1
17/09/2018,735,740,724.6,725.95
14/09/2018,741.9,745,729.05,733.7
12/09/2018,744.4,746.5,736.25,742.9
11/09/2018,735.9,744.75,732,734.3
10/09/2018,737.75,747,729.4,730.85
07/09/2018,734.35,735.15,723.8,732.8
06/09/2018,732.55,735.5,724.1,727.15
05/09/2018,741.95,744.05,725.4,729.9
04/09/2018,722,748.5,716,737.15
